case_id,component,boundary,Q_S_Byte_exact,Q_R_Byte_exact,RI_exact,tile_evaluations,final_valid_resident_Byte,allocated_tile_Byte
ministral3_8b_2512/attention_decode/131072,QK,operator,4096,1024,4,,134217728,134217728
ministral3_8b_2512/attention_decode/131072,AV,ports,4194304,1024,4096,32768,134217728,134217728
ministral3_8b_2512/attention_decode/131072,AV,operator,4194304,1024,4096,,134217728,134217728
qwen36_35b_a3b/qkv_projection/one_token,total,ports,147456,0,infinity,1152,18874368,18874368
qwen36_35b_a3b/qkv_projection/one_token,total,operator,2048,0,infinity,,18874368,18874368
qwen36_35b_a3b/qkv_projection/one_token,Q,ports,65536,0,infinity,512,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,Q,operator,2048,0,infinity,,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,G,ports,65536,0,infinity,512,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,G,operator,2048,0,infinity,,8388608,8388608
qwen36_35b_a3b/qkv_projection/one_token,K,ports,8192,0,infinity,64,1048576,1048576
qwen36_35b_a3b/qkv_projection/one_token,K,operator,2048,0,infinity,,1048576,1048576
qwen36_35b_a3b/qkv_projection/one_token,V,ports,8192,0,infinity,64,1048576,1048576
qwen36_35b_a3b/qkv_projection/one_token,V,operator,2048,0,infinity,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,total,ports,196608,3145728,1/16,1536,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/8,total,operator,20480,3145728,5/768,,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/8,gate,ports,65536,1048576,1/16,512,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,gate,operator,16384,1048576,1/64,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,up,ports,65536,1048576,1/16,512,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,up,operator,16384,1048576,1/64,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,down,ports,65536,1048576,1/16,512,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/8,down,operator,4096,1048576,1/256,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,total,ports,1572864,3145728,1/2,12288,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/64,total,operator,163840,3145728,5/96,,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/64,gate,ports,524288,1048576,1/2,4096,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,gate,operator,131072,1048576,1/8,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,up,ports,524288,1048576,1/2,4096,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,up,operator,131072,1048576,1/8,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,down,ports,524288,1048576,1/2,4096,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/64,down,operator,32768,1048576,1/32,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/512,total,ports,12582912,3145728,4,98304,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/512,total,operator,1310720,3145728,5/12,,3145728,3145728
qwen36_35b_a3b/ffn_or_moe/512,gate,ports,4194304,1048576,4,32768,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/512,gate,operator,1048576,1048576,1,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/512,up,ports,4194304,1048576,4,32768,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/512,up,operator,1048576,1048576,1,,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/512,down,ports,4194304,1048576,4,32768,1048576,1048576
qwen36_35b_a3b/ffn_or_moe/512,down,operator,262144,1048576,1/4,,1048576,1048576
qwen36_35b_a3b/attention_prefill/1024,total,ports,35667968,1048576,2177/64,294912,1048576,1048576
qwen36_35b_a3b/attention_prefill/1024,total,operator,12591104,1048576,1537/128,,1048576,1048576
qwen36_35b_a3b/attention_prefill/1024,QK,ports,18874368,524288,36,147456,524288,524288
qwen36_35b_a3b/attention_prefill/1024,QK,operator,4194304,524288,8,,524288,524288
qwen36_35b_a3b/attention_prefill/1024,AV,ports,16793600,524288,1025/32,147456,524288,524288
qwen36_35b_a3b/attention_prefill/1024,AV,operator,8396800,524288,1025/64,,524288,524288
qwen36_35b_a3b/attention_prefill/16384,total,ports,8623751168,16777216,32897/64,67633152,16777216,16777216
qwen36_35b_a3b/attention_prefill/16384,total,operator,2214723584,16777216,16897/128,,16777216,16777216
qwen36_35b_a3b/attention_prefill/16384,QK,ports,4328521728,8388608,516,33816576,8388608,8388608
qwen36_35b_a3b/attention_prefill/16384,QK,operator,67108864,8388608,8,,8388608,8388608
qwen36_35b_a3b/attention_prefill/16384,AV,ports,4295229440,8388608,16385/32,33816576,8388608,8388608
qwen36_35b_a3b/attention_prefill/16384,AV,operator,2147614720,8388608,16385/64,,8388608,8388608
qwen36_35b_a3b/attention_prefill/131072,total,ports,550026346496,134217728,262273/64,4299161600,134217728,134217728
qwen36_35b_a3b/attention_prefill/131072,total,operator,137976872960,134217728,131585/128,,134217728,134217728
qwen36_35b_a3b/attention_prefill/131072,QK,ports,275146342400,67108864,4100,2149580800,67108864,67108864
qwen36_35b_a3b/attention_prefill/131072,QK,operator,536870912,67108864,8,,67108864,67108864
qwen36_35b_a3b/attention_prefill/131072,AV,ports,274880004096,67108864,131073/32,2149580800,67108864,67108864
qwen36_35b_a3b/attention_prefill/131072,AV,operator,137440002048,67108864,131073/64,,67108864,67108864
qwen36_35b_a3b/attention_decode/1024,total,ports,65536,1024,64,512,1048576,1048576
qwen36_35b_a3b/attention_decode/1024,total,operator,20480,1024,20,,1048576,1048576
qwen36_35b_a3b/attention_decode/1024,QK,ports,32768,512,64,256,524288,524288
qwen36_35b_a3b/attention_decode/1024,QK,operator,4096,512,8,,524288,524288
qwen36_35b_a3b/attention_decode/1024,AV,ports,32768,512,64,256,524288,524288
qwen36_35b_a3b/attention_decode/1024,AV,operator,16384,512,32,,524288,524288
qwen36_35b_a3b/attention_decode/16384,total,ports,1048576,1024,1024,8192,16777216,16777216
qwen36_35b_a3b/attention_decode/16384,total,operator,266240,1024,260,,16777216,16777216
qwen36_35b_a3b/attention_decode/16384,QK,ports,524288,512,1024,4096,8388608,8388608
qwen36_35b_a3b/attention_decode/16384,QK,operator,4096,512,8,,8388608,8388608
qwen36_35b_a3b/attention_decode/16384,AV,ports,524288,512,1024,4096,8388608,8388608
