case_id,model_id,model_revision,selected_layer,row,B,L,component,boundary,Q_S,Q_R,RI,tile_evaluations,matrix_N_K_per_copy,copies,valid_resident_bytes,allocated_tile_bytes,resident_tiles,operator_shared_input_overlap_removed,initial_KV_tokens,final_KV_tokens,initial_valid_resident_bytes,appended_tokens,append,directory,results_path,results_sha256,delivery_revision,delivery_sha256,json_pointer
qwen35_2b/ffn_or_moe/8,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,8,,gate,ports,786432,12582912,1/16,6144,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/0/result/parts/gate/ports
qwen35_2b/ffn_or_moe/8,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,8,,gate,operator,16384,12582912,1/768,,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/0/result/parts/gate/operator
qwen35_2b/ffn_or_moe/8,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,8,,up,ports,786432,12582912,1/16,6144,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/0/result/parts/up/ports
qwen35_2b/ffn_or_moe/8,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,8,,up,operator,16384,12582912,1/768,,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/0/result/parts/up/operator
qwen35_2b/ffn_or_moe/8,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,8,,down,ports,786432,12582912,1/16,6144,"[2048,6144]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/0/result/parts/down/ports
qwen35_2b/ffn_or_moe/8,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,8,,down,operator,49152,12582912,1/256,,"[2048,6144]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/0/result/parts/down/operator
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,total,ports,18874368,37748736,1/2,147456,,,37748736,37748736,2304,131072,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/ports
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,total,operator,524288,37748736,1/72,,,,37748736,37748736,2304,131072,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/operator
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,gate,ports,6291456,12582912,1/2,49152,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/parts/gate/ports
qwen35_2b/ffn_or_moe/64,qwen35_2b,15852e8c16360a2fea060d615a32b45270f8a8fc,3,ffn_or_moe,64,,gate,operator,131072,12582912,1/96,,"[6144,2048]",1,12582912,12582912,768,,,,,,,table_IIb/02_ffn_moe,table_IIb/02_ffn_moe/data/results.json,5fc920987cd169108e39c72b5c844d0217b504dedffb8f9fbfce8f0ce40a4e8b,2,de42185a100e94d874030d7df9728cfb0a3787f0f59e9b57c02a9b05b03b7aaf,/cases/1/result/parts/gate/operator
