wl_id,boundary_kind,Q_R_Byte,Q_S_Byte,M_OP,RI_state,RI_exact
wl_7b_attn_prefill_b1_l2048_lo,logical_operator,4194304,132177920,30079451136,finite,16135/512
wl_7b_attn_prefill_b1_l8192_lo_qk,logical_operator,8388608,58720256,240547528704,finite,7
wl_7b_attn_prefill_b1_l8192_lo_av,logical_operator,8388608,1879277568,240547528704,finite,57351/256
wl_7b_attn_prefill_b1_l8192_lo,logical_operator,16777216,1937997824,481095057408,finite,59143/512
wl_7b_attn_decode_b1_v2048_lo_qk,logical_operator,1024,7168,14680064,finite,7
wl_7b_attn_decode_b1_v2048_lo_av,logical_operator,1024,114688,14680064,finite,112
wl_7b_attn_decode_b1_v2048_lo,logical_operator,2048,121856,29360128,finite,119/2
wl_7b_attn_decode_b1_v8192_lo_qk,logical_operator,1024,7168,58720256,finite,7
wl_7b_attn_decode_b1_v8192_lo_av,logical_operator,1024,458752,58720256,finite,448
wl_7b_attn_decode_b1_v8192_lo,logical_operator,2048,465920,117440512,finite,455/2
wl_7b_attn_prefill_b8_l2048_lo_qk,logical_operator,16777216,117440512,120317804544,finite,7
wl_7b_attn_prefill_b8_l2048_lo_av,logical_operator,16777216,939982848,120317804544,finite,14343/256
wl_7b_attn_prefill_b8_l2048_lo,logical_operator,33554432,1057423360,240635609088,finite,16135/512
wl_7b_attn_prefill_b8_l8192_lo_qk,logical_operator,67108864,469762048,1924380229632,finite,7
wl_7b_attn_prefill_b8_l8192_lo_av,logical_operator,67108864,15034220544,1924380229632,finite,57351/256
wl_7b_attn_prefill_b8_l8192_lo,logical_operator,134217728,15503982592,3848760459264,finite,59143/512
wl_7b_attn_decode_b8_v2048_lo_qk,logical_operator,8192,57344,117440512,finite,7
wl_7b_attn_decode_b8_v2048_lo_av,logical_operator,8192,917504,117440512,finite,112
wl_7b_attn_decode_b8_v2048_lo,logical_operator,16384,974848,234881024,finite,119/2
wl_7b_attn_decode_b8_v8192_lo_qk,logical_operator,8192,57344,469762048,finite,7
wl_7b_attn_decode_b8_v8192_lo_av,logical_operator,8192,3670016,469762048,finite,448
wl_7b_attn_decode_b8_v8192_lo,logical_operator,16384,3727360,939524096,finite,455/2
wl_7b_train_gate_u2048_a1_lo_forward,logical_operator,0,14680064,278099132416,infinite,
wl_7b_train_gate_u2048_a1_lo_dx,logical_operator,0,77594624,278099132416,infinite,
wl_7b_train_gate_u2048_a1_lo_dw,logical_operator,14680064,77594624,278099132416,finite,37/7
wl_7b_train_gate_u2048_a1_lo_dw_alternative,logical_operator,77594624,14680064,278099132416,finite,7/37
wl_7b_train_gate_u2048_a1_lo,logical_operator,286261248,169869312,834297397248,finite,54/91
wl_7b_train_gate_u2048_a16_lo_forward,logical_operator,0,14680064,278099132416,infinite,
wl_7b_train_gate_u2048_a16_lo_dx,logical_operator,0,77594624,278099132416,infinite,
wl_7b_train_gate_u2048_a16_lo_dw,logical_operator,14680064,77594624,278099132416,finite,37/7
wl_7b_train_gate_u2048_a16_lo_dw_alternative,logical_operator,77594624,14680064,278099132416,finite,7/37
wl_7b_train_gate_u2048_a16_lo,logical_operator,506462208,2717908992,13348758355968,finite,864/161
wl_7b_q_decode_b1_static_tp_r128_c128,tile_port,0,200704,25690112,infinite,
wl_7b_q_decode_b1_load_tp_r128_c128,tile_port,25690112,200704,25690112,finite,1/128
wl_7b_q_prefill_b1_l2048_load_tp_r128_c128,tile_port,25690112,411041792,52613349376,finite,16
wl_7b_q_prefill_b1_l8192_load_tp_r128_c128,tile_port,25690112,1644167168,210453397504,finite,64
wl_7b_q_decode_b8_static_tp_r128_c128,tile_port,0,1605632,205520896,infinite,
wl_7b_q_decode_b8_load_tp_r128_c128,tile_port,25690112,1605632,205520896,finite,1/16
wl_7b_q_prefill_b8_l2048_load_tp_r128_c128,tile_port,25690112,3288334336,420906795008,finite,128
wl_7b_q_prefill_b8_l8192_load_tp_r128_c128,tile_port,25690112,13153337344,1683627180032,finite,512
wl_7b_k_decode_b1_static_tp_r128_c128,tile_port,0,28672,3670016,infinite,
wl_7b_k_decode_b1_load_tp_r128_c128,tile_port,3670016,28672,3670016,finite,1/128
wl_7b_k_prefill_b1_l2048_load_tp_r128_c128,tile_port,3670016,58720256,7516192768,finite,16
wl_7b_k_prefill_b1_l8192_load_tp_r128_c128,tile_port,3670016,234881024,30064771072,finite,64
wl_7b_k_decode_b8_static_tp_r128_c128,tile_port,0,229376,29360128,infinite,
wl_7b_k_decode_b8_load_tp_r128_c128,tile_port,3670016,229376,29360128,finite,1/16
wl_7b_k_prefill_b8_l2048_load_tp_r128_c128,tile_port,3670016,469762048,60129542144,finite,128
