wl_id,boundary_kind,Q_R_Byte,Q_S_Byte,M_OP,RI_state,RI_exact
wl_7b_attn_decode_b1_v8192_tp_r192_c160,tile_port,2048,766976,117440512,finite,749/2
wl_7b_attn_prefill_b8_l2048_tp_r192_c160_qk,tile_port,16777216,686292992,120317804544,finite,1309/32
wl_7b_attn_prefill_b8_l2048_tp_r192_c160_av,tile_port,16777216,939982848,120317804544,finite,14343/256
wl_7b_attn_prefill_b8_l2048_tp_r192_c160,tile_port,33554432,1626275840,240635609088,finite,24815/512
wl_7b_attn_prefill_b8_l8192_tp_r192_c160_qk,tile_port,67108864,10257694720,1924380229632,finite,19565/128
wl_7b_attn_prefill_b8_l8192_tp_r192_c160_av,tile_port,67108864,15034220544,1924380229632,finite,57351/256
wl_7b_attn_prefill_b8_l8192_tp_r192_c160,tile_port,134217728,25291915264,3848760459264,finite,96481/512
wl_7b_attn_decode_b8_v2048_tp_r192_c160_qk,tile_port,8192,630784,117440512,finite,77
wl_7b_attn_decode_b8_v2048_tp_r192_c160_av,tile_port,8192,917504,117440512,finite,112
wl_7b_attn_decode_b8_v2048_tp_r192_c160,tile_port,16384,1548288,234881024,finite,189/2
wl_7b_attn_decode_b8_v8192_tp_r192_c160_qk,tile_port,8192,2465792,469762048,finite,301
wl_7b_attn_decode_b8_v8192_tp_r192_c160_av,tile_port,8192,3670016,469762048,finite,448
wl_7b_attn_decode_b8_v8192_tp_r192_c160,tile_port,16384,6135808,939524096,finite,749/2
wl_7b_train_gate_u2048_a1_tp_r192_c160_forward,tile_port,0,1453326336,278099132416,infinite,
wl_7b_train_gate_u2048_a1_tp_r192_c160_dx,tile_port,0,1474297856,278099132416,infinite,
wl_7b_train_gate_u2048_a1_tp_r192_c160_dw,tile_port,14680064,1474297856,278099132416,finite,703/7
wl_7b_train_gate_u2048_a1_tp_r192_c160_dw_alternative,tile_port,77594624,1453326336,278099132416,finite,693/37
wl_7b_train_gate_u2048_a1_tp_r192_c160,tile_port,286261248,4401922048,834297397248,finite,4198/273
wl_7b_train_gate_u2048_a16_tp_r192_c160_forward,tile_port,0,1453326336,278099132416,infinite,
wl_7b_train_gate_u2048_a16_tp_r192_c160_dx,tile_port,0,1474297856,278099132416,infinite,
wl_7b_train_gate_u2048_a16_tp_r192_c160_dw,tile_port,14680064,1474297856,278099132416,finite,703/7
wl_7b_train_gate_u2048_a16_tp_r192_c160_dw_alternative,tile_port,77594624,1453326336,278099132416,finite,693/37
wl_7b_train_gate_u2048_a16_tp_r192_c160,tile_port,506462208,70430752768,13348758355968,finite,67168/483
wl_14b_q_decode_b1_static_lo,logical_operator,0,10240,52428800,infinite,
wl_14b_q_decode_b1_load_lo,logical_operator,52428800,10240,52428800,finite,1/5120
wl_14b_q_prefill_b1_l2048_load_lo,logical_operator,52428800,20971520,107374182400,finite,2/5
wl_14b_q_prefill_b1_l8192_load_lo,logical_operator,52428800,83886080,429496729600,finite,8/5
wl_14b_q_decode_b8_static_lo,logical_operator,0,81920,419430400,infinite,
wl_14b_q_decode_b8_load_lo,logical_operator,52428800,81920,419430400,finite,1/640
wl_14b_q_prefill_b8_l2048_load_lo,logical_operator,52428800,167772160,858993459200,finite,16/5
wl_14b_q_prefill_b8_l8192_load_lo,logical_operator,52428800,671088640,3435973836800,finite,64/5
wl_14b_k_decode_b1_static_lo,logical_operator,0,10240,10485760,infinite,
wl_14b_k_decode_b1_load_lo,logical_operator,10485760,10240,10485760,finite,1/1024
wl_14b_k_prefill_b1_l2048_load_lo,logical_operator,10485760,20971520,21474836480,finite,2
wl_14b_k_prefill_b1_l8192_load_lo,logical_operator,10485760,83886080,85899345920,finite,8
wl_14b_k_decode_b8_static_lo,logical_operator,0,81920,83886080,infinite,
wl_14b_k_decode_b8_load_lo,logical_operator,10485760,81920,83886080,finite,1/128
wl_14b_k_prefill_b8_l2048_load_lo,logical_operator,10485760,167772160,171798691840,finite,16
wl_14b_k_prefill_b8_l8192_load_lo,logical_operator,10485760,671088640,687194767360,finite,64
wl_14b_v_decode_b1_static_lo,logical_operator,0,10240,10485760,infinite,
wl_14b_v_decode_b1_load_lo,logical_operator,10485760,10240,10485760,finite,1/1024
wl_14b_v_prefill_b1_l2048_load_lo,logical_operator,10485760,20971520,21474836480,finite,2
wl_14b_v_prefill_b1_l8192_load_lo,logical_operator,10485760,83886080,85899345920,finite,8
wl_14b_v_decode_b8_static_lo,logical_operator,0,81920,83886080,infinite,
wl_14b_v_decode_b8_load_lo,logical_operator,10485760,81920,83886080,finite,1/128
wl_14b_v_prefill_b8_l2048_load_lo,logical_operator,10485760,167772160,171798691840,finite,16
wl_14b_v_prefill_b8_l8192_load_lo,logical_operator,10485760,671088640,687194767360,finite,64
wl_14b_o_decode_b1_static_lo,logical_operator,0,10240,52428800,infinite,
wl_14b_o_decode_b1_load_lo,logical_operator,52428800,10240,52428800,finite,1/5120
wl_14b_o_prefill_b1_l2048_load_lo,logical_operator,52428800,20971520,107374182400,finite,2/5
wl_14b_o_prefill_b1_l8192_load_lo,logical_operator,52428800,83886080,429496729600,finite,8/5
wl_14b_o_decode_b8_static_lo,logical_operator,0,81920,419430400,infinite,
wl_14b_o_decode_b8_load_lo,logical_operator,52428800,81920,419430400,finite,1/640
wl_14b_o_prefill_b8_l2048_load_lo,logical_operator,52428800,167772160,858993459200,finite,16/5
wl_14b_o_prefill_b8_l8192_load_lo,logical_operator,52428800,671088640,3435973836800,finite,64/5
wl_14b_gate_decode_b1_static_lo,logical_operator,0,10240,141557760,infinite,
wl_14b_gate_decode_b1_load_lo,logical_operator,141557760,10240,141557760,finite,1/13824
wl_14b_gate_prefill_b1_l2048_load_lo,logical_operator,141557760,20971520,289910292480,finite,4/27
wl_14b_gate_prefill_b1_l8192_load_lo,logical_operator,141557760,83886080,1159641169920,finite,16/27
wl_14b_gate_decode_b8_static_lo,logical_operator,0,81920,1132462080,infinite,
wl_14b_gate_decode_b8_load_lo,logical_operator,141557760,81920,1132462080,finite,1/1728
wl_14b_gate_prefill_b8_l2048_load_lo,logical_operator,141557760,167772160,2319282339840,finite,32/27
wl_14b_gate_prefill_b8_l8192_load_lo,logical_operator,141557760,671088640,9277129359360,finite,128/27
wl_14b_up_decode_b1_static_lo,logical_operator,0,10240,141557760,infinite,
wl_14b_up_decode_b1_load_lo,logical_operator,141557760,10240,141557760,finite,1/13824
wl_14b_up_prefill_b1_l2048_load_lo,logical_operator,141557760,20971520,289910292480,finite,4/27
wl_14b_up_prefill_b1_l8192_load_lo,logical_operator,141557760,83886080,1159641169920,finite,16/27
wl_14b_up_decode_b8_static_lo,logical_operator,0,81920,1132462080,infinite,
wl_14b_up_decode_b8_load_lo,logical_operator,141557760,81920,1132462080,finite,1/1728
wl_14b_up_prefill_b8_l2048_load_lo,logical_operator,141557760,167772160,2319282339840,finite,32/27
wl_14b_up_prefill_b8_l8192_load_lo,logical_operator,141557760,671088640,9277129359360,finite,128/27
wl_14b_down_decode_b1_static_lo,logical_operator,0,27648,141557760,infinite,
wl_14b_down_decode_b1_load_lo,logical_operator,141557760,27648,141557760,finite,1/5120
wl_14b_down_prefill_b1_l2048_load_lo,logical_operator,141557760,56623104,289910292480,finite,2/5
wl_14b_down_prefill_b1_l8192_load_lo,logical_operator,141557760,226492416,1159641169920,finite,8/5
wl_14b_down_decode_b8_static_lo,logical_operator,0,221184,1132462080,infinite,
wl_14b_down_decode_b8_load_lo,logical_operator,141557760,221184,1132462080,finite,1/640
wl_14b_down_prefill_b8_l2048_load_lo,logical_operator,141557760,452984832,2319282339840,finite,16/5
wl_14b_down_prefill_b8_l8192_load_lo,logical_operator,141557760,1811939328,9277129359360,finite,64/5
wl_14b_lm_head_decode_b1_static_lo,logical_operator,0,10240,1557135360,infinite,
wl_14b_lm_head_decode_b1_load_lo,logical_operator,1557135360,10240,1557135360,finite,1/152064
wl_14b_lm_head_prefill_b1_l2048_load_lo,logical_operator,1557135360,20971520,3189013217280,finite,4/297
wl_14b_lm_head_prefill_b1_l8192_load_lo,logical_operator,1557135360,83886080,12756052869120,finite,16/297
wl_14b_lm_head_decode_b8_static_lo,logical_operator,0,81920,12457082880,infinite,
wl_14b_lm_head_decode_b8_load_lo,logical_operator,1557135360,81920,12457082880,finite,1/19008
wl_14b_lm_head_prefill_b8_l2048_load_lo,logical_operator,1557135360,167772160,25512105738240,finite,32/297
wl_14b_lm_head_prefill_b8_l8192_load_lo,logical_operator,1557135360,671088640,102048422952960,finite,128/297
wl_14b_gate_reload_b1_l2048_e4_lo,logical_operator,566231040,20971520,289910292480,finite,1/27
wl_14b_attn_prefill_b1_l2048_lo_qk,logical_operator,4194304,20971520,21485322240,finite,5
wl_14b_attn_prefill_b1_l2048_lo_av,logical_operator,4194304,167854080,21485322240,finite,10245/256
wl_14b_attn_prefill_b1_l2048_lo,logical_operator,8388608,188825600,42970644480,finite,11525/512
wl_14b_attn_prefill_b1_l8192_lo_qk,logical_operator,16777216,83886080,343639326720,finite,5
wl_14b_attn_prefill_b1_l8192_lo_av,logical_operator,16777216,2684682240,343639326720,finite,40965/256
wl_14b_attn_prefill_b1_l8192_lo,logical_operator,33554432,2768568320,687278653440,finite,42245/512
wl_14b_attn_decode_b1_v2048_lo_qk,logical_operator,2048,10240,20971520,finite,5
wl_14b_attn_decode_b1_v2048_lo_av,logical_operator,2048,163840,20971520,finite,80
wl_14b_attn_decode_b1_v2048_lo,logical_operator,4096,174080,41943040,finite,85/2
wl_14b_attn_decode_b1_v8192_lo_qk,logical_operator,2048,10240,83886080,finite,5
wl_14b_attn_decode_b1_v8192_lo_av,logical_operator,2048,655360,83886080,finite,320
wl_14b_attn_decode_b1_v8192_lo,logical_operator,4096,665600,167772160,finite,325/2
wl_14b_attn_prefill_b8_l2048_lo_qk,logical_operator,33554432,167772160,171882577920,finite,5
wl_14b_attn_prefill_b8_l2048_lo_av,logical_operator,33554432,1342832640,171882577920,finite,10245/256
wl_14b_attn_prefill_b8_l2048_lo,logical_operator,67108864,1510604800,343765155840,finite,11525/512
wl_14b_attn_prefill_b8_l8192_lo_qk,logical_operator,134217728,671088640,2749114613760,finite,5
wl_14b_attn_prefill_b8_l8192_lo_av,logical_operator,134217728,21477457920,2749114613760,finite,40965/256
wl_14b_attn_prefill_b8_l8192_lo,logical_operator,268435456,22148546560,5498229227520,finite,42245/512
wl_14b_attn_decode_b8_v2048_lo_qk,logical_operator,16384,81920,167772160,finite,5
wl_14b_attn_decode_b8_v2048_lo_av,logical_operator,16384,1310720,167772160,finite,80
wl_14b_attn_decode_b8_v2048_lo,logical_operator,32768,1392640,335544320,finite,85/2
wl_14b_attn_decode_b8_v8192_lo_qk,logical_operator,16384,81920,671088640,finite,5
wl_14b_attn_decode_b8_v8192_lo_av,logical_operator,16384,5242880,671088640,finite,320
wl_14b_attn_decode_b8_v8192_lo,logical_operator,32768,5324800,1342177280,finite,325/2
wl_14b_train_gate_u2048_a1_lo_forward,logical_operator,0,20971520,289910292480,infinite,
wl_14b_train_gate_u2048_a1_lo_dx,logical_operator,0,56623104,289910292480,infinite,
wl_14b_train_gate_u2048_a1_lo_dw,logical_operator,20971520,56623104,289910292480,finite,27/10
wl_14b_train_gate_u2048_a1_lo_dw_alternative,logical_operator,56623104,20971520,289910292480,finite,10/27
wl_14b_train_gate_u2048_a1_lo,logical_operator,304087040,134217728,869730877440,finite,64/145
wl_14b_train_gate_u2048_a16_lo_forward,logical_operator,0,20971520,289910292480,infinite,
wl_14b_train_gate_u2048_a16_lo_dx,logical_operator,0,56623104,289910292480,infinite,
wl_14b_train_gate_u2048_a16_lo_dw,logical_operator,20971520,56623104,289910292480,finite,27/10
wl_14b_train_gate_u2048_a16_lo_dw_alternative,logical_operator,56623104,20971520,289910292480,finite,10/27
wl_14b_train_gate_u2048_a16_lo,logical_operator,618659840,2147483648,13915694039040,finite,1024/295
wl_14b_q_decode_b1_static_tp_r128_c128,tile_port,0,409600,52428800,infinite,
wl_14b_q_decode_b1_load_tp_r128_c128,tile_port,52428800,409600,52428800,finite,1/128
wl_14b_q_prefill_b1_l2048_load_tp_r128_c128,tile_port,52428800,838860800,107374182400,finite,16
wl_14b_q_prefill_b1_l8192_load_tp_r128_c128,tile_port,52428800,3355443200,429496729600,finite,64
wl_14b_q_decode_b8_static_tp_r128_c128,tile_port,0,3276800,419430400,infinite,
wl_14b_q_decode_b8_load_tp_r128_c128,tile_port,52428800,3276800,419430400,finite,1/16
wl_14b_q_prefill_b8_l2048_load_tp_r128_c128,tile_port,52428800,6710886400,858993459200,finite,128
wl_14b_q_prefill_b8_l8192_load_tp_r128_c128,tile_port,52428800,26843545600,3435973836800,finite,512
wl_14b_k_decode_b1_static_tp_r128_c128,tile_port,0,81920,10485760,infinite,
wl_14b_k_decode_b1_load_tp_r128_c128,tile_port,10485760,81920,10485760,finite,1/128
wl_14b_k_prefill_b1_l2048_load_tp_r128_c128,tile_port,10485760,167772160,21474836480,finite,16
wl_14b_k_prefill_b1_l8192_load_tp_r128_c128,tile_port,10485760,671088640,85899345920,finite,64
wl_14b_k_decode_b8_static_tp_r128_c128,tile_port,0,655360,83886080,infinite,
wl_14b_k_decode_b8_load_tp_r128_c128,tile_port,10485760,655360,83886080,finite,1/16
wl_14b_k_prefill_b8_l2048_load_tp_r128_c128,tile_port,10485760,1342177280,171798691840,finite,128
wl_14b_k_prefill_b8_l8192_load_tp_r128_c128,tile_port,10485760,5368709120,687194767360,finite,512
wl_14b_v_decode_b1_static_tp_r128_c128,tile_port,0,81920,10485760,infinite,
wl_14b_v_decode_b1_load_tp_r128_c128,tile_port,10485760,81920,10485760,finite,1/128
wl_14b_v_prefill_b1_l2048_load_tp_r128_c128,tile_port,10485760,167772160,21474836480,finite,16
wl_14b_v_prefill_b1_l8192_load_tp_r128_c128,tile_port,10485760,671088640,85899345920,finite,64
wl_14b_v_decode_b8_static_tp_r128_c128,tile_port,0,655360,83886080,infinite,
wl_14b_v_decode_b8_load_tp_r128_c128,tile_port,10485760,655360,83886080,finite,1/16
wl_14b_v_prefill_b8_l2048_load_tp_r128_c128,tile_port,10485760,1342177280,171798691840,finite,128
wl_14b_v_prefill_b8_l8192_load_tp_r128_c128,tile_port,10485760,5368709120,687194767360,finite,512
wl_14b_o_decode_b1_static_tp_r128_c128,tile_port,0,409600,52428800,infinite,
wl_14b_o_decode_b1_load_tp_r128_c128,tile_port,52428800,409600,52428800,finite,1/128
wl_14b_o_prefill_b1_l2048_load_tp_r128_c128,tile_port,52428800,838860800,107374182400,finite,16
wl_14b_o_prefill_b1_l8192_load_tp_r128_c128,tile_port,52428800,3355443200,429496729600,finite,64
wl_14b_o_decode_b8_static_tp_r128_c128,tile_port,0,3276800,419430400,infinite,
wl_14b_o_decode_b8_load_tp_r128_c128,tile_port,52428800,3276800,419430400,finite,1/16
wl_14b_o_prefill_b8_l2048_load_tp_r128_c128,tile_port,52428800,6710886400,858993459200,finite,128
wl_14b_o_prefill_b8_l8192_load_tp_r128_c128,tile_port,52428800,26843545600,3435973836800,finite,512
wl_14b_gate_decode_b1_static_tp_r128_c128,tile_port,0,1105920,141557760,infinite,
wl_14b_gate_decode_b1_load_tp_r128_c128,tile_port,141557760,1105920,141557760,finite,1/128
wl_14b_gate_prefill_b1_l2048_load_tp_r128_c128,tile_port,141557760,2264924160,289910292480,finite,16
wl_14b_gate_prefill_b1_l8192_load_tp_r128_c128,tile_port,141557760,9059696640,1159641169920,finite,64
wl_14b_gate_decode_b8_static_tp_r128_c128,tile_port,0,8847360,1132462080,infinite,
wl_14b_gate_decode_b8_load_tp_r128_c128,tile_port,141557760,8847360,1132462080,finite,1/16
wl_14b_gate_prefill_b8_l2048_load_tp_r128_c128,tile_port,141557760,18119393280,2319282339840,finite,128
wl_14b_gate_prefill_b8_l8192_load_tp_r128_c128,tile_port,141557760,72477573120,9277129359360,finite,512
wl_14b_up_decode_b1_static_tp_r128_c128,tile_port,0,1105920,141557760,infinite,
wl_14b_up_decode_b1_load_tp_r128_c128,tile_port,141557760,1105920,141557760,finite,1/128
wl_14b_up_prefill_b1_l2048_load_tp_r128_c128,tile_port,141557760,2264924160,289910292480,finite,16
wl_14b_up_prefill_b1_l8192_load_tp_r128_c128,tile_port,141557760,9059696640,1159641169920,finite,64
wl_14b_up_decode_b8_static_tp_r128_c128,tile_port,0,8847360,1132462080,infinite,
wl_14b_up_decode_b8_load_tp_r128_c128,tile_port,141557760,8847360,1132462080,finite,1/16
wl_14b_up_prefill_b8_l2048_load_tp_r128_c128,tile_port,141557760,18119393280,2319282339840,finite,128
wl_14b_up_prefill_b8_l8192_load_tp_r128_c128,tile_port,141557760,72477573120,9277129359360,finite,512
wl_14b_down_decode_b1_static_tp_r128_c128,tile_port,0,1105920,141557760,infinite,
wl_14b_down_decode_b1_load_tp_r128_c128,tile_port,141557760,1105920,141557760,finite,1/128
wl_14b_down_prefill_b1_l2048_load_tp_r128_c128,tile_port,141557760,2264924160,289910292480,finite,16
wl_14b_down_prefill_b1_l8192_load_tp_r128_c128,tile_port,141557760,9059696640,1159641169920,finite,64
wl_14b_down_decode_b8_static_tp_r128_c128,tile_port,0,8847360,1132462080,infinite,
wl_14b_down_decode_b8_load_tp_r128_c128,tile_port,141557760,8847360,1132462080,finite,1/16
wl_14b_down_prefill_b8_l2048_load_tp_r128_c128,tile_port,141557760,18119393280,2319282339840,finite,128
wl_14b_down_prefill_b8_l8192_load_tp_r128_c128,tile_port,141557760,72477573120,9277129359360,finite,512
wl_14b_lm_head_decode_b1_static_tp_r128_c128,tile_port,0,12165120,1557135360,infinite,
wl_14b_lm_head_decode_b1_load_tp_r128_c128,tile_port,1557135360,12165120,1557135360,finite,1/128
wl_14b_lm_head_prefill_b1_l2048_load_tp_r128_c128,tile_port,1557135360,24914165760,3189013217280,finite,16
wl_14b_lm_head_prefill_b1_l8192_load_tp_r128_c128,tile_port,1557135360,99656663040,12756052869120,finite,64
wl_14b_lm_head_decode_b8_static_tp_r128_c128,tile_port,0,97320960,12457082880,infinite,
wl_14b_lm_head_decode_b8_load_tp_r128_c128,tile_port,1557135360,97320960,12457082880,finite,1/16
wl_14b_lm_head_prefill_b8_l2048_load_tp_r128_c128,tile_port,1557135360,199313326080,25512105738240,finite,128
wl_14b_lm_head_prefill_b8_l8192_load_tp_r128_c128,tile_port,1557135360,797253304320,102048422952960,finite,512
wl_14b_gate_reload_b1_l2048_e4_tp_r128_c128,tile_port,566231040,2264924160,289910292480,finite,4
wl_14b_attn_prefill_b1_l2048_tp_r128_c128_qk,tile_port,4194304,178257920,21485322240,finite,85/2
wl_14b_attn_prefill_b1_l2048_tp_r128_c128_av,tile_port,4194304,167854080,21485322240,finite,10245/256
wl_14b_attn_prefill_b1_l2048_tp_r128_c128,tile_port,8388608,346112000,42970644480,finite,21125/512
wl_14b_attn_prefill_b1_l8192_tp_r128_c128_qk,tile_port,16777216,2726297600,343639326720,finite,325/2
wl_14b_attn_prefill_b1_l8192_tp_r128_c128_av,tile_port,16777216,2684682240,343639326720,finite,40965/256
wl_14b_attn_prefill_b1_l8192_tp_r128_c128,tile_port,33554432,5410979840,687278653440,finite,82565/512
wl_14b_attn_decode_b1_v2048_tp_r128_c128_qk,tile_port,2048,163840,20971520,finite,80
wl_14b_attn_decode_b1_v2048_tp_r128_c128_av,tile_port,2048,163840,20971520,finite,80
wl_14b_attn_decode_b1_v2048_tp_r128_c128,tile_port,4096,327680,41943040,finite,80
wl_14b_attn_decode_b1_v8192_tp_r128_c128_qk,tile_port,2048,655360,83886080,finite,320
wl_14b_attn_decode_b1_v8192_tp_r128_c128_av,tile_port,2048,655360,83886080,finite,320
wl_14b_attn_decode_b1_v8192_tp_r128_c128,tile_port,4096,1310720,167772160,finite,320
wl_14b_attn_prefill_b8_l2048_tp_r128_c128_qk,tile_port,33554432,1426063360,171882577920,finite,85/2
wl_14b_attn_prefill_b8_l2048_tp_r128_c128_av,tile_port,33554432,1342832640,171882577920,finite,10245/256
wl_14b_attn_prefill_b8_l2048_tp_r128_c128,tile_port,67108864,2768896000,343765155840,finite,21125/512
wl_14b_attn_prefill_b8_l8192_tp_r128_c128_qk,tile_port,134217728,21810380800,2749114613760,finite,325/2
wl_14b_attn_prefill_b8_l8192_tp_r128_c128_av,tile_port,134217728,21477457920,2749114613760,finite,40965/256
wl_14b_attn_prefill_b8_l8192_tp_r128_c128,tile_port,268435456,43287838720,5498229227520,finite,82565/512
wl_14b_attn_decode_b8_v2048_tp_r128_c128_qk,tile_port,16384,1310720,167772160,finite,80
wl_14b_attn_decode_b8_v2048_tp_r128_c128_av,tile_port,16384,1310720,167772160,finite,80
wl_14b_attn_decode_b8_v2048_tp_r128_c128,tile_port,32768,2621440,335544320,finite,80
wl_14b_attn_decode_b8_v8192_tp_r128_c128_qk,tile_port,16384,5242880,671088640,finite,320
wl_14b_attn_decode_b8_v8192_tp_r128_c128_av,tile_port,16384,5242880,671088640,finite,320
wl_14b_attn_decode_b8_v8192_tp_r128_c128,tile_port,32768,10485760,1342177280,finite,320
wl_14b_train_gate_u2048_a1_tp_r128_c128_forward,tile_port,0,2264924160,289910292480,infinite,
wl_14b_train_gate_u2048_a1_tp_r128_c128_dx,tile_port,0,2264924160,289910292480,infinite,
wl_14b_train_gate_u2048_a1_tp_r128_c128_dw,tile_port,20971520,2264924160,289910292480,finite,108
wl_14b_train_gate_u2048_a1_tp_r128_c128_dw_alternative,tile_port,56623104,2264924160,289910292480,finite,40
wl_14b_train_gate_u2048_a1_tp_r128_c128,tile_port,304087040,6794772480,869730877440,finite,648/29
wl_14b_train_gate_u2048_a16_tp_r128_c128_forward,tile_port,0,2264924160,289910292480,infinite,
wl_14b_train_gate_u2048_a16_tp_r128_c128_dx,tile_port,0,2264924160,289910292480,infinite,
wl_14b_train_gate_u2048_a16_tp_r128_c128_dw,tile_port,20971520,2264924160,289910292480,finite,108
wl_14b_train_gate_u2048_a16_tp_r128_c128_dw_alternative,tile_port,56623104,2264924160,289910292480,finite,40
wl_14b_train_gate_u2048_a16_tp_r128_c128,tile_port,618659840,108716359680,13915694039040,finite,10368/59
wl_14b_q_decode_b1_static_tp_r192_c160,tile_port,0,276480,52428800,infinite,
wl_14b_q_decode_b1_load_tp_r192_c160,tile_port,52428800,276480,52428800,finite,27/5120
wl_14b_q_prefill_b1_l2048_load_tp_r192_c160,tile_port,52428800,566231040,107374182400,finite,54/5
wl_14b_q_prefill_b1_l8192_load_tp_r192_c160,tile_port,52428800,2264924160,429496729600,finite,216/5
wl_14b_q_decode_b8_static_tp_r192_c160,tile_port,0,2211840,419430400,infinite,
wl_14b_q_decode_b8_load_tp_r192_c160,tile_port,52428800,2211840,419430400,finite,27/640
wl_14b_q_prefill_b8_l2048_load_tp_r192_c160,tile_port,52428800,4529848320,858993459200,finite,432/5
wl_14b_q_prefill_b8_l8192_load_tp_r192_c160,tile_port,52428800,18119393280,3435973836800,finite,1728/5
wl_14b_k_decode_b1_static_tp_r192_c160,tile_port,0,61440,10485760,infinite,
wl_14b_k_decode_b1_load_tp_r192_c160,tile_port,10485760,61440,10485760,finite,3/512
wl_14b_k_prefill_b1_l2048_load_tp_r192_c160,tile_port,10485760,125829120,21474836480,finite,12
wl_14b_k_prefill_b1_l8192_load_tp_r192_c160,tile_port,10485760,503316480,85899345920,finite,48
wl_14b_k_decode_b8_static_tp_r192_c160,tile_port,0,491520,83886080,infinite,
wl_14b_k_decode_b8_load_tp_r192_c160,tile_port,10485760,491520,83886080,finite,3/64
wl_14b_k_prefill_b8_l2048_load_tp_r192_c160,tile_port,10485760,1006632960,171798691840,finite,96
wl_14b_k_prefill_b8_l8192_load_tp_r192_c160,tile_port,10485760,4026531840,687194767360,finite,384
wl_14b_v_decode_b1_static_tp_r192_c160,tile_port,0,61440,10485760,infinite,
wl_14b_v_decode_b1_load_tp_r192_c160,tile_port,10485760,61440,10485760,finite,3/512
wl_14b_v_prefill_b1_l2048_load_tp_r192_c160,tile_port,10485760,125829120,21474836480,finite,12
wl_14b_v_prefill_b1_l8192_load_tp_r192_c160,tile_port,10485760,503316480,85899345920,finite,48
wl_14b_v_decode_b8_static_tp_r192_c160,tile_port,0,491520,83886080,infinite,
wl_14b_v_decode_b8_load_tp_r192_c160,tile_port,10485760,491520,83886080,finite,3/64
wl_14b_v_prefill_b8_l2048_load_tp_r192_c160,tile_port,10485760,1006632960,171798691840,finite,96
wl_14b_v_prefill_b8_l8192_load_tp_r192_c160,tile_port,10485760,4026531840,687194767360,finite,384
wl_14b_o_decode_b1_static_tp_r192_c160,tile_port,0,276480,52428800,infinite,
wl_14b_o_decode_b1_load_tp_r192_c160,tile_port,52428800,276480,52428800,finite,27/5120
wl_14b_o_prefill_b1_l2048_load_tp_r192_c160,tile_port,52428800,566231040,107374182400,finite,54/5
wl_14b_o_prefill_b1_l8192_load_tp_r192_c160,tile_port,52428800,2264924160,429496729600,finite,216/5
wl_14b_o_decode_b8_static_tp_r192_c160,tile_port,0,2211840,419430400,infinite,
wl_14b_o_decode_b8_load_tp_r192_c160,tile_port,52428800,2211840,419430400,finite,27/640
wl_14b_o_prefill_b8_l2048_load_tp_r192_c160,tile_port,52428800,4529848320,858993459200,finite,432/5
wl_14b_o_prefill_b8_l8192_load_tp_r192_c160,tile_port,52428800,18119393280,3435973836800,finite,1728/5
wl_14b_gate_decode_b1_static_tp_r192_c160,tile_port,0,737280,141557760,infinite,
wl_14b_gate_decode_b1_load_tp_r192_c160,tile_port,141557760,737280,141557760,finite,1/192
wl_14b_gate_prefill_b1_l2048_load_tp_r192_c160,tile_port,141557760,1509949440,289910292480,finite,32/3
wl_14b_gate_prefill_b1_l8192_load_tp_r192_c160,tile_port,141557760,6039797760,1159641169920,finite,128/3
wl_14b_gate_decode_b8_static_tp_r192_c160,tile_port,0,5898240,1132462080,infinite,
wl_14b_gate_decode_b8_load_tp_r192_c160,tile_port,141557760,5898240,1132462080,finite,1/24
wl_14b_gate_prefill_b8_l2048_load_tp_r192_c160,tile_port,141557760,12079595520,2319282339840,finite,256/3
wl_14b_gate_prefill_b8_l8192_load_tp_r192_c160,tile_port,141557760,48318382080,9277129359360,finite,1024/3
wl_14b_up_decode_b1_static_tp_r192_c160,tile_port,0,737280,141557760,infinite,
wl_14b_up_decode_b1_load_tp_r192_c160,tile_port,141557760,737280,141557760,finite,1/192
wl_14b_up_prefill_b1_l2048_load_tp_r192_c160,tile_port,141557760,1509949440,289910292480,finite,32/3
wl_14b_up_prefill_b1_l8192_load_tp_r192_c160,tile_port,141557760,6039797760,1159641169920,finite,128/3
wl_14b_up_decode_b8_static_tp_r192_c160,tile_port,0,5898240,1132462080,infinite,
wl_14b_up_decode_b8_load_tp_r192_c160,tile_port,141557760,5898240,1132462080,finite,1/24
wl_14b_up_prefill_b8_l2048_load_tp_r192_c160,tile_port,141557760,12079595520,2319282339840,finite,256/3
wl_14b_up_prefill_b8_l8192_load_tp_r192_c160,tile_port,141557760,48318382080,9277129359360,finite,1024/3
wl_14b_down_decode_b1_static_tp_r192_c160,tile_port,0,746496,141557760,infinite,
wl_14b_down_decode_b1_load_tp_r192_c160,tile_port,141557760,746496,141557760,finite,27/5120
wl_14b_down_prefill_b1_l2048_load_tp_r192_c160,tile_port,141557760,1528823808,289910292480,finite,54/5
wl_14b_down_prefill_b1_l8192_load_tp_r192_c160,tile_port,141557760,6115295232,1159641169920,finite,216/5
wl_14b_down_decode_b8_static_tp_r192_c160,tile_port,0,5971968,1132462080,infinite,
wl_14b_down_decode_b8_load_tp_r192_c160,tile_port,141557760,5971968,1132462080,finite,27/640
wl_14b_down_prefill_b8_l2048_load_tp_r192_c160,tile_port,141557760,12230590464,2319282339840,finite,432/5
