case_id,component,boundary,Q_S_Byte,Q_R_Byte,RI,tile_evaluations,final_valid_Byte,allocated_Byte
ministral3_8b_2512/attention_decode/131072,QK,operator,4096,1024,4,None,134217728,134217728
ministral3_8b_2512/attention_decode/131072,AV,ports,4194304,1024,4096,32768,134217728,134217728
ministral3_8b_2512/attention_decode/131072,AV,operator,4194304,1024,4096,None,134217728,134217728
qwen36_35b_a3b/attention_prefill/1024,total,ports,35667968,1048576,2177/64,294912,1048576,1048576
qwen36_35b_a3b/attention_prefill/1024,total,operator,12591104,1048576,1537/128,None,1048576,1048576
qwen36_35b_a3b/attention_prefill/1024,QK,ports,18874368,524288,36,147456,524288,524288
qwen36_35b_a3b/attention_prefill/1024,QK,operator,4194304,524288,8,None,524288,524288
qwen36_35b_a3b/attention_prefill/1024,AV,ports,16793600,524288,1025/32,147456,524288,524288
qwen36_35b_a3b/attention_prefill/1024,AV,operator,8396800,524288,1025/64,None,524288,524288
qwen36_35b_a3b/attention_prefill/16384,total,ports,8623751168,16777216,32897/64,67633152,16777216,16777216
qwen36_35b_a3b/attention_prefill/16384,total,operator,2214723584,16777216,16897/128,None,16777216,16777216
qwen36_35b_a3b/attention_prefill/16384,QK,ports,4328521728,8388608,516,33816576,8388608,8388608
qwen36_35b_a3b/attention_prefill/16384,QK,operator,67108864,8388608,8,None,8388608,8388608
qwen36_35b_a3b/attention_prefill/16384,AV,ports,4295229440,8388608,16385/32,33816576,8388608,8388608
qwen36_35b_a3b/attention_prefill/16384,AV,operator,2147614720,8388608,16385/64,None,8388608,8388608
qwen36_35b_a3b/attention_prefill/131072,total,ports,550026346496,134217728,262273/64,4299161600,134217728,134217728
qwen36_35b_a3b/attention_prefill/131072,total,operator,137976872960,134217728,131585/128,None,134217728,134217728
qwen36_35b_a3b/attention_prefill/131072,QK,ports,275146342400,67108864,4100,2149580800,67108864,67108864
qwen36_35b_a3b/attention_prefill/131072,QK,operator,536870912,67108864,8,None,67108864,67108864
qwen36_35b_a3b/attention_prefill/131072,AV,ports,274880004096,67108864,131073/32,2149580800,67108864,67108864
qwen36_35b_a3b/attention_prefill/131072,AV,operator,137440002048,67108864,131073/64,None,67108864,67108864
qwen36_35b_a3b/attention_decode/1024,total,ports,65536,1024,64,512,1048576,1048576
qwen36_35b_a3b/attention_decode/1024,total,operator,20480,1024,20,None,1048576,1048576
qwen36_35b_a3b/attention_decode/1024,QK,ports,32768,512,64,256,524288,524288
qwen36_35b_a3b/attention_decode/1024,QK,operator,4096,512,8,None,524288,524288
